geoUnit,year,"Proportion of children/young people at the age of lower secondary education prepared for the future in reading, both sexes (%)"
ISL,2022,59.68709945678710
ISR,2000,64.75920104980470
ISR,2006,59.64702987670900
ISR,2009,71.83705139160160
ISR,2012,74.88738250732420
ISR,2015,72.0145034790039
ISR,2018,67.76595306396480
ISR,2022,69.30460357666020
ITA,2000,78.00299835205080
ITA,2003,73.76859283447270
ITA,2006,71.84294128417970
ITA,2009,77.39734649658200
ITA,2012,79.13054656982420
ITA,2015,77.92642974853520
ITA,2018,75.81202697753910
ITA,2022,77.90251159667970
JAM,2022,48.65129852294920
JOR,2006,43.95912933349610
JOR,2009,45.73197937011720
JOR,2012,43.96236038208010
JOR,2015,48.22325897216800
JOR,2018,53.13224029541020
JOR,2022,18.75473976135250
KAZ,2009,41.05509185791020
KAZ,2012,42.73038101196290
KAZ,2015,58.54029083251950
KAZ,2018,35.73867034912110
KAZ,2022,36.27999877929690
KGZ,2006,11.47587966918950
KGZ,2009,16.39270973205570
KHM,2017,3.069767951965330
KHM,2022,4.379759788513180
KOR,2000,94.10579681396480
KOR,2003,93.13542175292970
KOR,2006,94.12738037109380
KOR,2009,94.20599365234380
KOR,2012,92.35237121582030
KOR,2015,86.34297180175780
KOR,2018,84.89173126220700
KOR,2022,85.31999969482420
LTU,2006,73.44125366210940
LTU,2009,74.8048095703125
LTU,2012,77.93350982666020
LTU,2015,74.1447525024414
LTU,2018,74.88033294677730
LTU,2022,74.45382690429690
LUX,2000,49.20500183105470
LUX,2003,61.26340866088870
LUX,2006,63.41408920288090
LUX,2009,61.75593185424810
LUX,2012,65.68866729736330
LUX,2015,63.57632064819340
LUX,2018,61.16292953491210
LVA,2000,67.87319946289060
LVA,2003,80.3147964477539
LVA,2006,77.28562927246090
LVA,2009,80.8550796508789
LVA,2012,81.36018371582030
LVA,2015,80.83907318115230
LVA,2018,76.2386474609375
LVA,2022,75.94512176513670
MAR,2018,11.63702011108400
MAR,2022,8.72212028503418
MDA,2009,40.28902053833010
MDA,2015,51.33869171142580
MDA,2018,54.15024185180660
MDA,2022,48.88296127319340
MEX,2000,39.5359992980957
MEX,2003,35.88896942138670
MEX,2006,41.80847930908200
MEX,2009,48.76557159423830
MEX,2012,49.08295059204100
MEX,2015,49.57514953613280
MEX,2018,47.95029830932620
MEX,2022,46.76364135742190
MKD,2000,33.6973991394043
MKD,2015,28.17956924438480
MKD,2018,43.42781829833980
MKD,2022,25.6648998260498
MLT,2009,62.47734832763670
MLT,2015,63.09170913696290
MLT,2018,62.70359039306640
MLT,2022,62.40639877319340
MNE,2006,41.86391067504880
MNE,2009,48.6845703125
MNE,2012,55.05743026733400
MNE,2015,56.60303115844730
MNE,2018,54.30224990844730
MNE,2022,46.18740081787110
MNG,2022,35.58681106567380
MUS,2009,45.8007698059082
MYS,2009,51.21414947509770
MYS,2012,44.29985046386720
MYS,2015,59.9333381652832
MYS,2018,52.4338493347168
MYS,2022,41.08427810668950
NLD,2000,79.70771789550780
NLD,2003,78.51793670654300
NLD,2006,76.22631072998050
NLD,2009,77.20221710205080
NLD,2012,77.41004943847660
NLD,2015,72.92305755615230
NLD,2018,67.10743713378910
NLD,2022,58.02753829956060
NOR,2000,82.0875015258789
NOR,2003,81.4684829711914
NOR,2006,77.18433380126950
NOR,2009,84.57467651367190
NOR,2012,83.36042022705080
NOR,2015,84.74561309814450
NOR,2018,80.46489715576170
NOR,2022,72.31240844726560
PAN,2009,24.87701034545900
PAN,2018,27.01708030700680
PAN,2022,32.74375152587890
PER,2022,45.67238998413090
PHL,2018,14.35857009887700
PHL,2022,19.01503944396970
POL,2000,71.88480377197270
POL,2003,78.86229705810550
POL,2006,80.99681091308590
POL,2009,82.67381286621090
POL,2012,87.36640930175780
POL,2015,83.87593078613280
POL,2018,83.8738784790039
POL,2022,76.75898742675780
PRT,2000,56.97359848022460
PRT,2003,62.7559700012207
PRT,2006,61.56137084960940
PRT,2009,70.1056137084961
PRT,2012,70.9569320678711
PRT,2015,73.91126251220700
PRT,2018,72.11943054199220
PRT,2022,71.16310119628910
PRY,2017,24.09369087219240
PRY,2022,27.00799942016600
PSE,2022,22.28170013427730
QAT,2006,16.77375030517580
QAT,2009,33.87351989746090
QAT,2012,40.45204925537110
QAT,2015,46.15005874633790
QAT,2018,47.14076995849610
QAT,2022,50.99423980712890
ROU,2000,54.51440048217770
ROU,2006,43.51794815063480
ROU,2009,55.84543991088870
ROU,2012,58.47002029418950
ROU,2015,57.05651092529300
ROU,2018,54.90200042724610
ROU,2022,54.20040130615230
RUS,2000,71.29319763183590
RUS,2003,64.901123046875
RUS,2006,63.77853012084960
RUS,2009,71.83161163330080
RUS,2012,77.15679931640630
RUS,2015,83.34295654296880
RUS,2018,77.59500885009770
SDG: Eastern and South-Eastern Asia,2000,39.43133544921880
SDG: Eastern and South-Eastern Asia,2001,40.1046257019043
SDG: Eastern and South-Eastern Asia,2002,40.65447235107420
SDG: Eastern and South-Eastern Asia,2003,41.31563949584960
SDG: Eastern and South-Eastern Asia,2004,41.97051620483400
SDG: Eastern and South-Eastern Asia,2005,42.73492431640630
SDG: Eastern and South-Eastern Asia,2006,43.43446350097660
SDG: Eastern and South-Eastern Asia,2007,44.18472671508790
SDG: Eastern and South-Eastern Asia,2008,44.87057876586910
SDG: Eastern and South-Eastern Asia,2009,45.54969024658200
SDG: Eastern and South-Eastern Asia,2010,46.05170822143560
SDG: Eastern and South-Eastern Asia,2011,46.43522644042970
SDG: Eastern and South-Eastern Asia,2012,46.70158386230470
SDG: Eastern and South-Eastern Asia,2013,46.9643440246582
SDG: Eastern and South-Eastern Asia,2014,47.16763305664060
SDG: Eastern and South-Eastern Asia,2015,47.36778259277340
SDG: Eastern and South-Eastern Asia,2016,47.56478500366210
SDG: Eastern and South-Eastern Asia,2017,47.70342636108400
SDG: Eastern and South-Eastern Asia,2018,47.83937835693360
SDG: Eastern and South-Eastern Asia,2019,48.08216094970700
SDG: Europe and Northern America,2000,74.12202453613280
SDG: Europe and Northern America,2001,74.44703674316410
SDG: Europe and Northern America,2002,74.69495391845700
SDG: Europe and Northern America,2003,75.02120208740230
SDG: Europe and Northern America,2004,75.27001190185550
SDG: Europe and Northern America,2005,75.59750366210940
SDG: Europe and Northern America,2006,75.8471908569336
SDG: Europe and Northern America,2007,76.09722900390630
SDG: Europe and Northern America,2008,76.42650604248050
SDG: Europe and Northern America,2009,76.67742919921880
SDG: Europe and Northern America,2010,76.92871856689450
SDG: Europe and Northern America,2011,77.18035888671880
SDG: Europe and Northern America,2012,77.43235778808590
SDG: Europe and Northern America,2013,77.60494232177730
SDG: Europe and Northern America,2014,77.85746002197270
SDG: Europe and Northern America,2015,78.11034393310550
SDG: Europe and Northern America,2016,78.28328704833980
SDG: Europe and Northern America,2017,78.53669738769530
SDG: Europe and Northern America,2018,78.70982360839840
SDG: Europe and Northern America,2019,78.9637680053711
SDG: Latin America and the Caribbean,2000,29.96936988830570
SDG: Latin America and the Caribbean,2001,30.76393508911130
SDG: Latin America and the Caribbean,2002,31.56590270996090
SDG: Latin America and the Caribbean,2003,32.32758331298830
SDG: Latin America and the Caribbean,2004,33.09609222412110
SDG: Latin America and the Caribbean,2005,33.82318496704100
SDG: Latin America and the Caribbean,2006,34.55654144287110
SDG: Latin America and the Caribbean,2007,35.24732971191410
SDG: Latin America and the Caribbean,2008,35.84561157226560
SDG: Latin America and the Caribbean,2009,36.39905166625980
SDG: Latin America and the Caribbean,2010,36.90680313110350
SDG: Latin America and the Caribbean,2011,37.46792984008790
SDG: Latin America and the Caribbean,2012,38.03303527832030
SDG: Latin America and the Caribbean,2013,38.65265655517580
SDG: Latin America and the Caribbean,2014,39.32764434814450
SDG: Latin America and the Caribbean,2015,39.95664978027340
SDG: Latin America and the Caribbean,2016,40.59020614624020
SDG: Latin America and the Caribbean,2017,41.22832870483400
SDG: Latin America and the Caribbean,2018,41.87099075317380
SDG: Latin America and the Caribbean,2019,42.46598434448240
SDG: Northern Africa and Western Asia,2000,27.64313507080080
SDG: Northern Africa and Western Asia,2001,28.54055595397950
SDG: Northern Africa and Western Asia,2002,29.61766052246090
SDG: Northern Africa and Western Asia,2003,30.81998252868650
SDG: Northern Africa and Western Asia,2004,32.09175872802730
SDG: Northern Africa and Western Asia,2005,33.25984191894530
SDG: Northern Africa and Western Asia,2006,34.32226943969730
SDG: Northern Africa and Western Asia,2007,35.2770881652832
SDG: Northern Africa and Western Asia,2008,36.06331634521480
SDG: Northern Africa and Western Asia,2009,36.73736572265630
SDG: Northern Africa and Western Asia,2010,37.35695648193360
SDG: Northern Africa and Western Asia,2011,37.98110580444340
SDG: Northern Africa and Western Asia,2012,38.60983657836910
SDG: Northern Africa and Western Asia,2013,39.30377578735350
SDG: Northern Africa and Western Asia,2014,40.06391143798830
SDG: Northern Africa and Western Asia,2015,40.82992172241210
SDG: Northern Africa and Western Asia,2016,41.41690444946290
SDG: Northern Africa and Western Asia,2017,42.00780487060550
SDG: Northern Africa and Western Asia,2018,42.47804260253910
SDG: Northern Africa and Western Asia,2019,43.01349258422850
SDG: Oceania,2000,64.15359497070310
SDG: Oceania,2001,64.1397705078125
SDG: Oceania,2002,63.94820022583010
SDG: Oceania,2003,63.75585556030270
SDG: Oceania,2004,63.38884735107420
SDG: Oceania,2005,63.02259826660160
SDG: Oceania,2006,62.6571159362793
SDG: Oceania,2007,62.46401977539060
SDG: Oceania,2008,62.44097518920900
SDG: Oceania,2009,62.33060455322270
SDG: Oceania,2010,61.9647331237793
SDG: Oceania,2011,61.43111038208010
SDG: Oceania,2012,61.06755447387700
SDG: Oceania,2013,60.78825759887700
SDG: Oceania,2014,60.59208297729490
SDG: Oceania,2015,60.22967147827150
SDG: Oceania,2016,59.86802673339840
SDG: Oceania,2017,59.50714874267580
SDG: Oceania,2018,59.31020736694340
SDG: Oceania,2019,58.95010375976560
SDG: World,2000,37.70095443725590
SDG: World,2001,38.4255256652832
SDG: World,2002,39.0265998840332
SDG: World,2003,39.75383377075200
SDG: World,2004,40.48246002197270
SDG: World,2005,41.21249008178710
SDG: World,2006,41.94391250610350
SDG: World,2007,42.67672348022460
SDG: World,2008,43.34811782836910
SDG: World,2009,43.89500045776370
SDG: World,2010,44.37995529174810
SDG: World,2011,44.80278396606450
SDG: World,2012,45.28944778442380
SDG: World,2013,45.71385955810550
SDG: World,2014,46.13903045654300
SDG: World,2015,46.56496810913090
SDG: World,2016,46.99166870117190
SDG: World,2017,47.35572814941410
SDG: World,2018,47.78388977050780
SDG: World,2019,48.14928436279300
SEN,2017,2.276735067367550
SLV,2022,19.88666915893560
SRB,2003,52.20655822753910
SRB,2006,47.31571960449220
SRB,2009,65.83973693847660
SRB,2012,65.66873168945310
SRB,2018,61.3614387512207
SRB,2022,62.77320098876950
SVK,2003,74.34654235839840
SVK,2006,71.4620132446289
SVK,2009,77.02742004394530
SVK,2012,71.13604736328130
SVK,2015,67.35550689697270
SVK,2018,67.97265625
SVK,2022,64.04351806640630
SVN,2006,82.38693237304690
SVN,2009,77.77520751953130
SVN,2012,77.83155822753910
SVN,2015,83.84187316894530
SVN,2018,81.37993621826170
SVN,2022,73.31873321533200
SWE,2000,85.48750305175780
SWE,2003,84.91230010986330
SWE,2006,83.2945327758789
SWE,2009,81.40484619140630
SWE,2012,76.27657318115230
SWE,2015,80.67327117919920
SWE,2018,80.87249755859380
SWE,2022,75.13407897949220
THA,2000,48.11849975585940
THA,2003,44.85731887817380
THA,2006,45.91188812255860
THA,2009,47.81826019287110
THA,2012,57.11006164550780
THA,2015,43.26821899414060
THA,2018,35.19606018066410
THA,2022,31.07843017578130
TTO,2009,51.55158996582030
TTO,2015,53.31892013549810
TUN,2003,24.87184906005860
TUN,2006,29.38279914855960
TUN,2009,37.78118896484380
TUN,2012,40.55640029907230
TUN,2015,23.90070915222170
TUR,2003,39.63027954101560
TUR,2006,51.00553894042970
TUR,2009,62.13171005249020
TUR,2012,68.72676849365230
TUR,2015,54.62039947509770
TUR,2018,69.06633758544920
TUR,2022,68.193359375
UKR,2018,73.13065338134770
UKR,2022,58.34140014648440
URY,2003,43.40975952148440
URY,2006,39.80849075317380
URY,2009,42.46546936035160
URY,2012,37.27949142456060
URY,2015,42.87335968017580
URY,2018,40.97209930419920
URY,2022,41.57633972167970
USA,2000,79.06230163574220
USA,2003,78.11319732666020
USA,2009,80.89884185791020
USA,2012,82.06157684326170
USA,2015,79.95642852783200
USA,2018,79.76534271240230
USA,2022,78.9914321899414
UZB,2022,13.85894966125490
VNM,2012,74.55119323730470
VNM,2015,71.42385864257810
VNM,2018,76.55487060546880
VNM,2022,68.49745178222660
WB: High income (July 2025),2000,77.26309967041020
WB: High income (July 2025),2001,77.40206909179690
WB: High income (July 2025),2002,77.54095458984380
WB: High income (July 2025),2003,77.59883117675780
WB: High income (July 2025),2004,77.7375259399414
WB: High income (July 2025),2005,77.87615966796880
WB: High income (July 2025),2006,77.93383026123050
WB: High income (July 2025),2007,77.991455078125
WB: High income (July 2025),2008,78.12982940673830
WB: High income (July 2025),2009,78.18734741210940
WB: High income (July 2025),2010,78.24480438232420
WB: High income (July 2025),2011,78.30221557617190
WB: High income (July 2025),2012,78.35957336425780
WB: High income (July 2025),2013,78.41688537597660
WB: High income (July 2025),2014,78.47416687011720
WB: High income (July 2025),2015,78.45075225830080
WB: High income (July 2025),2016,78.50794982910160
WB: High income (July 2025),2017,78.48451232910160
WB: High income (July 2025),2018,78.54164123535160
WB: High income (July 2025),2019,78.51817321777340
WB: Upper middle income (July 2025),2000,35.8865966796875
WB: Upper middle income (July 2025),2001,36.73634338378910
WB: Upper middle income (July 2025),2002,37.53702545166020
WB: Upper middle income (July 2025),2003,38.39527130126950
WB: Upper middle income (July 2025),2004,39.31153869628910
WB: Upper middle income (July 2025),2005,40.17858123779300
WB: Upper middle income (July 2025),2006,41.10396957397460
WB: Upper middle income (July 2025),2007,41.97981262207030
WB: Upper middle income (July 2025),2008,42.80566024780270
WB: Upper middle income (July 2025),2009,43.63552474975590
WB: Upper middle income (July 2025),2010,44.30550384521480
WB: Upper middle income (July 2025),2011,44.92378997802730
WB: Upper middle income (July 2025),2012,45.48991775512700
WB: Upper middle income (July 2025),2013,46.05851745605470
WB: Upper middle income (July 2025),2014,46.57433700561520
WB: Upper middle income (July 2025),2015,47.09231948852540
WB: Upper middle income (July 2025),2016,47.61245727539060
WB: Upper middle income (July 2025),2017,48.13476181030270
WB: Upper middle income (July 2025),2018,48.60335922241210
WB: Upper middle income (July 2025),2019,49.12983703613280
ZMB,2017,2.299834012985230
